country,svensk-folk-swedish-alt-country,brit-pop-rock-piano-post,roll-oldies-60s-heavy-70s,60s-oldies-motown-50s-40s,indietronica-folk-revival-post-punk,r'n'b-hop-hip-r&b-urban,house-tropical-electro-dj-kygo,east-rap-coast-hop-hip,metal-grunge-screamo-nu-heavy,skitz0rz-sunflower-factor-bitch-uitluisteren,minimal-trip-hop-idm-techno
BHS,0,2,1,1,4,8,3,10,0,21,0
SVK,0,2,9,1,13,0,1,1,9,6,6
PER,0,3,7,1,13,0,3,2,7,9,3
BOL,0,3,10,1,11,0,3,1,12,6,2
MWI,0,1,2,2,1,3,2,23,4,10,0
ECU,0,3,11,1,11,0,4,2,7,6,2
ISR,0,2,11,1,14,0,0,5,8,5,4
IRL,0,2,9,3,15,0,2,3,5,6,4
DZA,1,4,9,2,7,0,5,4,6,9,1
LBN,2,1,10,2,14,0,2,4,3,6,3
MNE,0,1,11,1,15,1,0,1,5,5,8
TJK,0,3,4,0,2,4,1,6,8,15,0
LKA,2,4,5,2,6,4,7,4,4,12,0
TGO,0,3,4,1,9,2,4,7,1,14,3
JOR,0,2,14,1,7,0,2,5,7,10,0
CHL,0,3,8,1,13,0,2,2,6,5,5
OMN,1,4,3,1,16,1,5,4,3,10,1
ESP,0,2,7,1,18,0,3,2,7,6,4
GEO,0,1,10,0,17,0,0,1,3,4,14
MAR,2,3,9,1,12,0,6,5,2,6,4
SWE,6,1,10,3,5,0,6,3,2,10,2
GAB,0,4,9,4,5,11,1,4,5,5,0
GUY,0,2,1,0,6,4,2,9,10,15,0
RUS,0,2,8,0,13,0,0,1,12,5,5
GRD,0,3,2,1,5,7,5,9,3,14,0
IND,0,4,13,1,7,1,5,3,7,7,0
YEM,1,2,4,1,5,5,5,4,3,18,1
BHR,1,4,5,2,8,2,4,6,1,16,1
EST,0,2,7,1,15,0,5,3,5,8,4
MEX,0,3,7,1,18,0,3,2,4,3,4
SMR,0,2,9,0,14,0,0,0,17,3,5
PRY,0,3,8,0,17,0,2,2,10,4,3
AGO,0,2,1,2,4,5,6,5,2,23,0
BLR,0,1,7,0,13,0,0,2,13,5,4
VCT,0,3,9,1,12,0,0,3,10,10,2
UGA,0,4,3,1,6,3,6,8,1,11,5
BDI,0,2,25,1,5,0,0,0,3,0,11
BWA,2,4,6,1,3,4,4,2,2,18,2
ITA,0,2,10,0,15,0,1,1,9,5,5
ZAF,2,1,7,0,16,0,1,1,10,7,4
KHM,1,1,4,2,15,0,4,4,1,8,9
ETH,0,5,11,4,8,2,1,3,4,4,6
VUT,0,6,8,0,11,0,0,3,10,5,3
MDG,0,3,10,3,5,5,1,3,7,11,0
CMR,0,4,4,3,5,7,0,5,5,17,0
BEN,0,2,13,13,1,4,0,0,0,0,1
CAN,0,1,7,1,14,0,2,5,8,11,0
SGP,1,5,3,1,8,2,7,3,0,19,1
SLB,0,2,8,1,16,0,0,3,5,6,6
ISL,0,1,9,1,15,0,3,4,1,7,7
LCA,1,1,3,3,8,2,3,9,0,8,2
CRI,0,2,10,1,10,0,2,2,12,5,3
SVN,0,2,12,0,15,0,0,0,11,5,5
DEU,0,2,9,1,10,0,6,3,10,6,3
DMA,2,4,1,0,18,3,2,3,6,8,0
SUR,0,5,4,1,9,0,3,5,7,11,2
TON,0,3,8,1,17,0,0,4,6,6,5
MDV,1,4,14,1,11,0,0,3,9,6,1
SLV,0,4,7,1,11,0,6,2,9,8,0
